vendor,slug,status,scim_plan,scim_price_text,team_price_text,pricing_page_url,team_plan,team_price_per_user_mo,scim_price_per_user_mo,price_multiplier,notes,last_verified
Atlassian,atlassian,gated,Add-on (Atlassian Guard Standard),Guard Standard: $4.20/u/mo,Add-on on top of any Atlassian product plan,https://www.atlassian.com/software/access/pricing,(N/A - Guard is an add-on),,4.2,,Guard Standard $4.20/u/mo includes SCIM. Guard Premium $8.18/u/mo. Add-on layered on top of Jira/Confluence/etc. Multiplier N/A because no base 'team plan' on this product specifically.,2026-06-12
Attio,attio,gated,Enterprise,Contact Sales (~$119+/u/mo),Plus: $29/u/mo (annual),https://attio.com/pricing,Plus,29,,,"Status changed from 'unknown' to 'gated'. Free (3 seats), Plus $29, Pro $69, Enterprise custom (~$119+/u/mo). SAML SSO + SCIM gated to Enterprise.",2026-06-12
Auth0,auth0,gated,B2B Professional,B2B Professional: $800/mo,B2B Essentials: $150/mo,https://auth0.com/pricing,B2B Essentials,,,5.3,"Status changed from 'free' to 'gated' based on 2026 B2B plan restructuring. Self-Service SSO included in B2B Essentials; inbound SCIM (directory sync) requires B2B Professional ($800/mo). Pricing is MAU-based, not strict per-user-per-month. Multiplier from flat plan prices.",2026-06-12
Autodesk,autodesk,gated,Business Success Plan (add-on),Contact Sales,Standard: included with product subscription,https://www.autodesk.com/pricing,Standard,,,,"Status changed from 'unknown' to 'gated'. SCIM gated behind Business Success Plan (separate subscription, pricing not public). Product subscriptions range ~$500-$3,375/yr; Premium upgrade ~$300/yr/seat.",2026-06-12
Backblaze,backblaze,gated,Add-on (Enterprise Control),+$24/computer/yr (~$2/comp/mo),Business Backup: $99/computer/yr (~$8.25/comp/mo),https://www.backblaze.com/business/backup/pricing,Business Backup,8.25,10.25,1.2,Per-computer (not per-user) pricing. Business Backup ~$99/comp/yr; with Enterprise Control add-on ~$123/comp/yr (= $24/comp/yr add-on). Enterprise Control includes SCIM/SSO. Multiplier compares total with add-on vs base.,2026-06-12
Balsamiq,balsamiq,none,—,—,"Business: $12/mo (small team, 2 projects)",https://balsamiq.com/wireframes/pricing/,Business,,,,"Enterprise tier ($18/mo+) adds SAML SSO only. No SCIM provisioning support documented across any plan. Project-count pricing, not per-user.",2026-06-12
BambooHR,bamboohr,none,—,—,Core: $10/emp/mo,https://www.bamboohr.com/pricing/,Core,10,,,"Status changed from 'unknown' to 'none'. BambooHR does NOT support inbound SCIM provisioning on any plan; acts as outbound HR source-of-truth only. Core $10, Pro $17, Elite $25/emp/mo.",2026-06-12
Basecamp,basecamp,gated,Pro Unlimited,Pro Unlimited: $299/mo flat (annual),Plus: $15/u/mo,https://basecamp.com/pricing,Plus,15,,,SCIM/SSO only on Pro Unlimited ($299/mo flat annual; $349 monthly) and only via Okta connector. No native SCIM for Entra/Google/OneLogin. Updated from 'none' to 'gated' since Okta-based SCIM does exist.,2026-06-12
Baserow,baserow,none,—,—,Premium: $10/u/mo (annual),https://baserow.io/pricing,Premium,10,,,"Free tier, Premium $10/u/mo, Advanced $18/u/mo. No SCIM documented at any tier.",2026-06-12
Bitly,bitly,gated,Enterprise,Contact Sales,Core: $10/mo flat (annual),https://bitly.com/pages/pricing,Core,,,,"Plans are flat-priced not per-user (Free, Core $10/mo, Growth $35/mo, Premium $300/mo, Enterprise custom). SSO/SCIM via Okta only on Enterprise. Updated from 'none' to 'gated'.",2026-06-12
Bitrise,bitrise,gated,Enterprise,Contact Sales,Starter: $99/mo flat,https://bitrise.io/pricing,Starter,,,,"Starter $99/mo (up to 10 members), Pro from $218/mo, Enterprise custom. SCIM only on Enterprise. Plans are flat-fee.",2026-06-12
BitWarden,bitwarden,free,Teams,Teams: $4/u/mo (SCIM included),Teams: $4/u/mo,https://bitwarden.com/pricing/,Teams,4,4,1,"SCIM included on Teams ($4/u/mo) and Enterprise ($6/u/mo). Lowest paid tier already includes SCIM, so effectively no SCIM tax.",2026-06-12
Blackbaud,blackbaud,partial,—,Contact Sales,—,https://www.blackbaud.com/pricing,,,,,Could not verify on 2026-06-12. All pricing sales-quoted; SCIM not confirmed on public materials.,2026-06-12
Booqable,booqable,none,—,—,Start: $29/mo flat (annual),https://booqable.com/pricing,Start,,,,"Start $29/mo annual, Grow $69, Scale $149, Custom from $349. Flat-fee per business. No SCIM documented.",2026-06-12
Box,box,gated,Business,Business: $15/u/mo (annual),Business Starter: $5/u/mo (annual),https://www.box.com/pricing,Business Starter,5,15,3,SCIM provisioning available from Business ($15/u/mo) upward. Business Starter $5/u/mo lacks SCIM. Box uses partly proprietary provisioning APIs via Okta/Entra.,2026-06-12
Breezy HR,breezy-hr,gated,Pro,Contact Sales,Startup: $157/mo flat (annual),https://breezy.hr/pricing,Startup,,,,"Free Bootstrap; Startup $157/mo, Growth $273, Business $439 annual. SSO and advanced security only on Pro (custom). Updated from 'unknown' to 'gated'.",2026-06-12
Brex,brex,gated,Premium,Premium: $12/u/mo,Essentials: Free,https://www.brex.com/pricing,Essentials,0,12,,Essentials free; Premium $12/u/mo; Enterprise custom. SCIM/advanced controls on Premium and above. Multiplier undefined due to free base.,2026-06-12
BrowserStack,browserstack,gated,Enterprise,Contact Sales,Live: ~$29/u/mo,https://www.browserstack.com/pricing,Live,29,,,Live from $29/mo per parallel. Enterprise (25+ user min) has SSO/SAML and SCIM with custom pricing; typical $12k-$40k/yr.,2026-06-12
Buffer,buffer,none,—,—,Essentials: $5/mo per channel,https://buffer.com/pricing,Essentials,,,,"Free tier; Essentials $5/channel, Team $10/channel. Buffer charges per channel not per user. No SCIM at any tier.",2026-06-12
Bugsnag,bugsnag,gated,Enterprise,Contact Sales,Select: from $23/mo,https://www.bugsnag.com/pricing/,Select,,,,"Event-volume pricing: Select ~$23/mo, Preferred ~$39/mo. SSO-based auto provisioning on Preferred; native SCIM Enterprise-only.",2026-06-12
Bytebase,bytebase,gated,Enterprise,Contact Sales,Pro: $20/u/mo,https://www.bytebase.com/pricing/,Pro,20,,,"Free, Pro $20/u/mo cloud-only, Enterprise custom yearly. SCIM, 2FA, audit log Enterprise-only.",2026-06-12
Calendly,calendly,gated,Enterprise,"Enterprise: from $15,000/yr (Contact Sales)",Standard: $12/u/mo (annual),https://calendly.com/pricing,Standard,12,,,Standard increased from $10 to $12/u/mo. Teams $20/u/mo. SCIM only on Enterprise with $15k/yr minimum.,2026-06-12
Canva,canva,gated,Enterprise,Contact Sales (~$25-30/u/mo),Teams: $10/u/mo,https://www.canva.com/pricing/,Teams,10,,,Teams entry $10/u/mo (newer Business signups ~$20/u/mo). SCIM only on Canva Enterprise / for Districts. Enterprise pricing not public.,2026-06-12
Carta,carta,gated,Scale,Scale: ~$67k-112k/yr (Contact Sales),Launch: $280/yr flat (<25 stakeholders),https://carta.com/pricing,Launch,,,,SCIM only via Okta connector and only on Scale plan (~$224 per stakeholder list). Launch flat for very small companies.,2026-06-12
Cascade,cascade,unknown,—,Contact Sales,Essentials: Contact Sales,https://www.cascade.app/pricing,Essentials,,,,Free plan up to 4 users; Essentials and Enterprise+ custom/sales-quoted. SSO on paid tiers; SCIM not specifically documented.,2026-06-12
Channel.io,channel-io,unknown,—,Contact Sales,Early Stage: $36/mo flat,https://channel.io/en/pricing,Early Stage,,,,"Free, Early Stage $36/mo, Growth $96/mo, Enterprise custom. SCIM not documented on public materials.",2026-06-12
Chargebee,chargebee,none,—,—,Starter: Free (then 0.75% of billing),https://www.chargebee.com/pricing/,Starter,0,,,"Starter free up to $250k cumulative billing then 0.75%. Performance $599/mo, Enterprise custom. SAML SSO only on Enterprise; no native SCIM. 'None' retained.",2026-06-12
CircleCI,circleci,unknown,Scale,"Contact Sales (from ~$2,000/mo)",Performance: from $15/mo (usage-based),https://circleci.com/pricing/,Performance,15,,,"Free, Performance from $15/mo, Scale custom (~$2k+/mo). SCIM not explicitly named in public materials.",2026-06-12
Clay,clay,unknown,Enterprise,Contact Sales (~$30k/yr median),Launch: $185/mo flat,https://www.clay.com/pricing,Launch,,,,"March 2026 overhaul: Launch $185/mo, Growth $495/mo, Enterprise custom (SSO/RBAC). Flat/credit-based. SCIM not explicitly named.",2026-06-12
ClickTime,clicktime,gated,Add-on (any tier),Contact Sales (separate add-on),Starter: $12/u/mo,https://www.clicktime.com/pricing,Starter,12,,,"Starter $12/u/mo, Team $15, Premier $27, Enterprise custom. SCIM as separately-priced add-on across tiers.",2026-06-12
ClickUp,clickup,gated,Enterprise,Contact Sales (~$20-45/u/mo),Unlimited: $7/u/mo (annual),https://clickup.com/pricing,Unlimited,7,,,"Free, Unlimited $7/u/mo, Business $12, Business Plus $19, Enterprise custom. SAML SSO and SCIM only on Enterprise.",2026-06-12
Clio,clio,partial,Contact Sales,Contact Sales,EasyStart: $49/u/mo,https://www.clio.com/pricing/,EasyStart,49,,,"Clio offers SAML SSO across plans via Clio Identity, but native SCIM provisioning is not publicly documented. Okta provisioning connector exists. Plans: EasyStart $49, Essentials $89, Advanced $119, Complete $149 (per user/mo, annual).",2026-06-12
Clockify,clockify,gated,Enterprise,Enterprise: $11.99/u/mo (annual),Basic: $3.99/u/mo,https://clockify.me/pricing,Basic,3.99,11.99,3,"Status updated none -> gated. Enterprise plan ($11.99/seat/mo annual, $14.99 monthly) now lists SCIM provisioning. Basic is lowest paid tier at $3.99/u/mo.",2026-06-12
Cloudcraft,cloudcraft,none,—,—,Pro: $99/u/mo,https://www.cloudcraft.co/pricing,Pro,99,,,"Cloudcraft offers SAML SSO on Enterprise ($120/u/mo), but no public SCIM provisioning support documented. Existing Datadog customers get SSO free.",2026-06-12
Coda,coda,gated,Enterprise,Contact Sales,Pro: $10/maker/mo (annual),https://coda.io/pricing,Pro,10,,,Status updated unknown -> gated. Enterprise plan includes SAML SSO and SCIM user provisioning. Pro is $10/maker/mo annual ($12 monthly); Team is $30/maker/mo annual. Enterprise is custom pricing.,2026-06-12
Codeium,codeium,gated,Enterprise,Enterprise: $60/u/mo,Teams: $35/u/mo,https://windsurf.com/pricing,Teams,35,60,1.7,"Status updated none -> gated. Now branded Windsurf. Enterprise tier at $60/u/mo includes SSO + SCIM (RBAC, compliance certifications). Teams tier $35/u/mo does not include SCIM. Teams capped at 200 seats.",2026-06-12
CoderPad,coderpad,gated,Enterprise (Custom),Enterprise: Contact Sales,Starter: $80/mo flat,https://coderpad.io/pricing/,Starter,,,,"Pricing is flat-fee per organization (interview volume) rather than per-user. Starter $80/mo, Team $400/mo, Enterprise custom. SSO with SCIM available only on Enterprise/Custom tier.",2026-06-12
Contentful,contentful,gated,Premium / Enterprise,Contact Sales,Lite: $300/mo flat,https://www.contentful.com/pricing/,Lite,,,,Lite at $300/mo flat (20 users). SCIM requires Premium or Enterprise tier on High Availability or Scale infrastructure. Enterprise contracts typically mid-five figures to six figures annually.,2026-06-12
Copper CRM,copper-crm,gated,Business,Business: $99/seat/mo (annual),Starter: $9/seat/mo (annual),https://www.copper.com/pricing,Starter,9,99,11,"Status updated unknown -> gated. SCIM provisioning requires Business plan ($99/seat/mo annual, $134 monthly). Only supported through Okta connector; SSO/SAML must be configured first.",2026-06-12
Coursera for Business,coursera-for-business,gated,Teams,Teams: $399/user/year (~$33.25/u/mo),Teams: $399/user/year (~$33.25/u/mo),https://www.coursera.org/business/pricing,Teams,33.25,33.25,1,Per parent agent notes: Teams plan now includes SCIM at $399/user/year (multiplier collapses to 1.0). Plan still gated above free but SCIM is no longer Enterprise-only. Enterprise still available for 500+ users with additional integrations.,2026-06-12
Crowdin,crowdin,gated,Enterprise,Enterprise: $450+/mo (custom),Team: $179/mo flat,https://crowdin.com/pricing,Team,,,,"Status updated unknown -> gated. SAML SSO and SCIM provisioning available only on Enterprise plan ($450+/mo, custom). Team plan ($179/mo) does not include SCIM. Per-organization flat pricing, not per-user.",2026-06-12
CrowdStrike,crowdstrike,gated,Falcon Enterprise,Enterprise: $184.99/device/year (~$15.42/device/mo),Go: $29.99/device/year (~$2.50/device/mo),https://www.crowdstrike.com/en-us/pricing/,Falcon Go,2.5,15.42,6.2,SCIM provisioning gated to Enterprise tier ($184.99/device/year). SCIM only works reliably through Okta connector. Pro tier ($99.99/device/year) does not include SCIM.,2026-06-12
CubeCoders AMP,cubecoders-amp,none,—,—,Standard: ~$10 (one-time/lifetime),https://cubecoders.com/AMP,Standard,,,,"AMP supports LDAP and (in-development) OIDC for SSO on Advanced/Enterprise editions. No SCIM provisioning support documented. License is per-instance lifetime, not per-user subscription.",2026-06-12
Culture Amp,culture-amp,none,—,—,Contact Sales (~$9-14/employee/mo),https://www.cultureamp.com/pricing,Engage,,,,"Culture Amp does not support SCIM by design. They separate authentication (SAML SSO) from employee data, which they prefer to sync via HRIS integrations rather than IdP. Pricing is custom per module/employee count.",2026-06-12
Cypress,cypress,none,—,—,Team: $67/mo flat (annual),https://www.cypress.io/pricing,Team,,,,Cypress Cloud Business plan ($267/mo) adds SAML SSO. No SCIM provisioning publicly documented across any tier. Enterprise is custom but SCIM not advertised.,2026-06-12
Dagster,dagster,gated,Pro,Pro: Contact Sales,Solo: $10/mo + credits,https://dagster.io/pricing,Solo,,,,"Status updated unknown -> gated. Dagster+ Pro tier includes SSO, RBAC, and SCIM provisioning (with Google, GitHub, SAML IdPs). Solo ($10/mo + $0.040/credit) and Starter ($100/mo + $0.035/credit) do not include SCIM. Pro pricing is quote-based.",2026-06-12
Dashlane,dashlane,gated,Business,Business: $8/u/mo,Business: $8/u/mo,https://www.dashlane.com/business/pricing,Business,8,8,1,Standard tier retired; Business now baseline at $8/u/mo and includes SAML SSO + SCIM provisioning. Multiplier collapses to 1.0. (Legacy Business and Omnix plans being rebranded; SCIM still included.),2026-06-12
Databricks,databricks,gated,Premium,Premium: ~$0.55/DBU,Premium: ~$0.55/DBU (all-purpose),https://www.databricks.com/product/pricing,Premium,,,1,"Standard tier retired Oct 2025 on AWS/GCP (Azure by Oct 2026). Premium is now baseline and includes Unity Catalog, RBAC, audit logging, and SCIM. Multiplier collapses to 1.0. Enterprise adds compliance certifications and SLAs but SCIM is already in Premium.",2026-06-12
Datadog,datadog,gated,Pro,Pro: $15/host/mo (annual),Pro: $15/host/mo (annual),https://www.datadoghq.com/pricing/,Pro,15,15,1,Datadog now includes SCIM 2.0 provisioning on Pro Infrastructure ($15/host/mo annual). Multiplier collapses to 1.0. Enterprise ($23/host/mo) still adds custom RBAC and additional admin features. Note: Microsoft Entra provisioning is currently blocked due to a Microsoft security freeze.,2026-06-12
DatoCMS,datocms,gated,Enterprise,Enterprise: Contact Sales (~$499+/mo),Professional: €149/mo flat,https://www.datocms.com/pricing,Professional,,,,"SSO and SCIM provisioning restricted to Enterprise tier (custom pricing, starts around $499/mo). Professional plan at €149/mo does not include SCIM.",2026-06-12
dbt Labs,dbt-labs,gated,Enterprise,Enterprise: $300+/u/mo (custom),Team: $100/u/mo,https://www.getdbt.com/pricing,Team,100,300,3,"Status updated none -> gated. SCIM provisioning gated behind Enterprise tier (~$300/u/mo, 3x Team). Only supports Okta and Entra ID as SSO providers for SCIM.",2026-06-12
Deel,deel,gated,Enterprise,Enterprise: Contact Sales,Contractor: $49/contractor/mo,https://www.deel.com/pricing,Contractor Management,49,,,"Status updated unknown -> gated. SCIM provisioning available only on Enterprise tier (custom pricing) and supports Okta, Azure AD, JumpCloud. Deel HR is free but does not include SCIM. Contractor Management $49/contractor/mo is lowest paid product. Deel is designed primarily as HR source-of-truth pushing data to IdPs.",2026-06-12
DeepL,deepl,gated,Business,Business: ~$57.49/u/mo (annual),Pro Starter: $10.49/mo (or ~$8.74/u/mo Team),https://www.deepl.com/en/pro#plans,Starter,8.74,57.49,6.6,"Business tier (~$57.49/u/mo annual) adds SCIM provisioning, domain capture, and enterprise admin features. Lower tiers (Starter $8.74/u/mo, Advanced) do not include SCIM. Enterprise above Business is custom.",2026-06-12
Deepnote,deepnote,gated,Enterprise,Enterprise: Contact Sales,Team: $31.20/editor/mo (annual),https://deepnote.com/pricing,Team,31.2,,,SCIM provisioning and SAML/OIDC directory sync gated to Enterprise (custom pricing). Team plan at $31.20/editor/mo annual ($39 monthly) does not include SCIM.,2026-06-12
Dialpad,dialpad,gated,Pro,Pro: $25/u/mo (annual),Standard: $15/u/mo (annual),https://www.dialpad.com/pricing/,Standard,15,25,1.7,"Status updated none -> gated. Native SCIM provisioning now on Dialpad Connect Pro ($25/u/mo annual, $35 monthly). Standard ($15/u/mo) does not include SCIM. Enterprise (custom) adds dedicated support.",2026-06-12
DMARC Report,dmarc-report,none,—,—,Guard: $25/mo flat,https://dmarcreport.com/pricing/,Guard,2.5,,,"Flat domain/report-volume pricing. SSO/SAML on Defender ($200/mo) and Ultimate ($3,900/mo) but no SCIM at any tier.",2026-06-12
Dmarcian,dmarcian,gated,Enterprise,Enterprise: ~$499/mo (15 domains),Basic: $19.99/mo flat (2 domains),https://dmarcian.com/pricing/,Basic,2,,,Domain-based flat pricing. SCIM only on Enterprise (~$499/mo). Free Personal tier for non-business use. Normalized Basic flat $19.99/mo to ~$2/u/mo.,2026-06-12
Docker,docker,gated,Business,Business: $24/user/mo,Team: $15/user/mo (annual),https://www.docker.com/pricing/,Team,15,24,1.6,SCIM only on Business. Pro $9 is single-user; Team is first multi-user plan. Dataset previously listed team as Pro $9; corrected to Team $15.,2026-06-12
DocuSign,docusign,gated,Enterprise,Contact Sales,Standard: $25/user/mo (annual),https://www.docusign.com/products-and-pricing,Standard,25,,,"Personal $10/mo is single-user. Standard is lowest team-suitable plan. SCIM requires Enterprise Edition (Wave 1 June 2025 users, Wave 2 Q4 2025 groups).",2026-06-12
Doppler,doppler,gated,Enterprise,Contact Sales,Team: $21/user/mo,https://www.doppler.com/pricing,Team,21,,,SAML SSO on Team; SCIM exclusive to Enterprise. Third-party estimates Enterprise ~$30-40/u/mo.,2026-06-12
Drata,drata,gated,Enterprise,Contact Sales (~$25K/yr starting),"Essential: ~$7,500/yr flat",https://drata.com/pricing,Essential,,,,"Annual flat pricing by employee bands. Essential ~$7.5K, Foundation ~$15K, Advanced ~$37K, Enterprise ~$25K+. SCIM (Okta-only) on Enterprise.",2026-06-12
Drift / Salesloft,drift-salesloft,gated,Premier (Enterprise),Premier: ~$180/user/mo,Essentials: ~$125/user/mo (list),https://www.salesloft.com/pricing/,Essentials,125,180,1.4,Pricing private; third-party estimates. SCIM only on Premier/Enterprise. Drift now part of Salesloft.,2026-06-12
Dropbox,dropbox,gated,Standard,Standard: $15/user/mo,"Standard: $15/user/mo (annual, 3 user min)",https://www.dropbox.com/plans,Standard,15,15,1,SCIM 2.0 supported on Standard business plan and above. SSO must be enabled first. Lowest business team plan includes SCIM; not on free or individual Plus tier.,2026-06-12
Dubble,dubble,none,—,—,Team: $12/user/mo (5 user min),https://dubble.so/pricing,Team,12,,,Pro plan offers SAML SSO but no SCIM at any tier.,2026-06-12
Duo Security,duo-security,free,Essentials,Essentials: $3/user/mo (Duo Directory included),Essentials: $3/user/mo,https://duo.com/pricing,Essentials,3,3,1,"Duo Directory (directory sync/SCIM) included starting with Essentials, the cheapest paid tier. Advantage $6 and Premier $9 add other features. Reclassified from gated.",2026-06-12
Dynatrace,dynatrace,gated,Enterprise (custom),Contact Sales,Infrastructure: ~$29/host/mo,https://www.dynatrace.com/pricing/,Infrastructure Monitoring,,,,Per-host pricing. SCIM 2.0 via Okta/Azure but requires Enterprise contract. Full-Stack ~$58/host/mo. Median enterprise ACV ~$183K.,2026-06-12
Ease,ease,none,—,—,Contact Sales,https://ease.com/pricing/,,,,,HR/benefits via insurance brokers. Custom pricing only. No documented native SCIM.,2026-06-12
Easy LMS,easy-lms,none,—,—,Basic: $80/mo flat,https://www.easy-lms.com/pricing,Basic,,,,"Flat-fee pricing. Basic $80/mo, Advanced $230/mo. No documented SCIM at any tier.",2026-06-12
Elastic,elastic,gated,Enterprise,Enterprise: from $184/mo (resource-based),Standard: from $99/mo (resource-based),https://www.elastic.co/pricing/,Standard,,,,Resource-based pricing. Free self-managed exists. SAML/SSO on Platinum; SCIM typically Enterprise. Real deployments $1.5K-$50K+/mo.,2026-06-12
Envoy,envoy,gated,Premium,Premium: $5/active user/mo,Workplace Standard: $3/active user/mo,https://envoy.com/pricing/,Standard,3,5,1.7,"Workplace tiers: Standard $3, Premium $5, Premium Plus $7 per active user/mo. SCIM on Premium+. Older Visitor product priced per location.",2026-06-12
Expensify,expensify,gated,Control,Control: $9/member/mo (annual w/ Card),Collect: $5/member/mo flat,https://www.expensify.com/pricing,Collect,5,9,1.8,"Pricing restructured Apr 2025: Collect $5/mo flat. Control $9 annual+Card, $18 annual no-Card, $36 PAYG. SCIM requires manual activation via concierge@expensify.com.",2026-06-12
Figma,figma,gated,Enterprise,Enterprise: $90/full seat/mo (annual),Professional: $16/full seat/mo,https://www.figma.com/pricing/,Professional,16,90,5.6,"Full seat tiers: Starter free, Professional $16, Organization $55, Enterprise $90. SCIM role assignment and seat management exclusive to Enterprise.",2026-06-12
Fivetran,fivetran,gated,Enterprise,Contact Sales (~33% premium over Standard),Standard: usage-based (MAR per connector),https://www.fivetran.com/pricing,Standard,,,,Consumption-based (MAR). SCIM and SSO on Enterprise. Business Critical adds PCI/HIPAA. 2026: MAR now per-connector.,2026-06-12
Formstack,formstack,gated,Enterprise,Contact Sales,"Forms: $83/mo flat (1 builder, 25 forms)",https://www.formstack.com/pricing,Forms,,,,Flat-rate by builder seats/form limits. SCIM exists on Enterprise tier (Salesforce Solutions and Enterprise per docs). Suite $250+/mo adds documents/sign.,2026-06-12
Frame.io,frame-io,gated,Enterprise (via Adobe Admin Console),Contact Sales,Pro: $15/member/mo,https://frame.io/pricing,Pro,15,,,"Free plan exists. Pro $15, Team $25 per member/mo. Enterprise V4 migrates to Adobe Admin Console which provides SCIM (Azure/Google Workspace IdPs only). No SCIM on Pro/Team.",2026-06-12
Freshdesk,freshdesk,gated,Enterprise,Enterprise: $89/agent/mo (annual),Growth: $19/agent/mo (annual),https://www.freshworks.com/freshdesk/pricing/,Growth,19,89,4.7,"Free tier exists. Growth $19, Pro $55, Enterprise $89 per agent/mo annual. SCIM provisions only agents (not end-user contacts), Enterprise-only.",2026-06-12
Freshservice,freshservice,gated,Pro,Pro: $99/agent/mo (annual),Starter: $19/agent/mo (annual),https://www.freshworks.com/freshservice/pricing/,Starter,19,99,5.2,"Starter $19, Growth $49, Pro $99, Enterprise custom. SCIM on Pro (via Azure/Okta/OneLogin marketplace apps) and Enterprise.",2026-06-12
